method,config,T0,T1,branch,arm,severity,estimator,n,coverage,mean_bias,mean_abs_bias,rmse,mean_se,mean_direct_shock_component,mean_iv_moment_bias_ratio,mean_weight_corr,cap_bound_fraction
AR,longer_length,30,60,GFE + Agg. Shock,A_TSLS_targeted,2.0,TSLS,1000,0.474,nan,nan,nan,nan,0.03553239192836272,0.03753051352342455,0.2540550099348547,0.0
AR,longer_length,30,60,GFE + Agg. Shock,B_SIV_targeted,0.0,SIV,1000,0.938,nan,nan,nan,nan,0.0,0.0012246482588266535,0.2583524062328746,0.0
AR,longer_length,30,60,GFE + Agg. Shock,B_SIV_targeted,0.0,TSLS,1000,0.926,nan,nan,nan,nan,0.0,0.001998121595061835,0.2583524062328746,0.0
AR,longer_length,30,60,GFE + Agg. Shock,B_SIV_targeted,0.6,SIV,1000,0.913,nan,nan,nan,nan,0.008745126109225938,0.009905279887391937,0.25845992823941266,0.0
AR,longer_length,30,60,GFE + Agg. Shock,B_SIV_targeted,0.6,TSLS,1000,0.899,nan,nan,nan,nan,0.0009012894775512408,0.002899411072613077,0.25845992823941266,0.0
AR,longer_length,30,60,GFE + Agg. Shock,B_SIV_targeted,1.4,SIV,1000,0.839,nan,nan,nan,nan,0.0168005775770676,0.0178641591990663,0.2579952767875647,0.0
AR,longer_length,30,60,GFE + Agg. Shock,B_SIV_targeted,1.4,TSLS,1000,0.756,nan,nan,nan,nan,0.0021030087809528948,0.004101130376014735,0.2579952767875647,0.0
AR,longer_length,30,60,GFE + Agg. Shock,B_SIV_targeted,2.0,SIV,1000,0.778,nan,nan,nan,nan,0.020090629315834385,0.021098204061910396,0.25720432463942156,0.0
AR,longer_length,30,60,GFE + Agg. Shock,B_SIV_targeted,2.0,TSLS,1000,0.63,nan,nan,nan,nan,0.003004298258504137,0.005002419853565974,0.25720432463942156,0.0
AR,longer_length,30,60,GFE + Agg. Shock,C_random_geometry,0.0,SIV,1000,0.938,nan,nan,nan,nan,0.0,0.0012246482588266535,0.2583524062328746,0.0
AR,longer_length,30,60,GFE + Agg. Shock,C_random_geometry,0.0,TSLS,1000,0.926,nan,nan,nan,nan,0.0,0.001998121595061835,0.2583524062328746,0.0
AR,longer_length,30,60,GFE + Agg. Shock,C_random_geometry,0.6,SIV,1000,0.935,nan,nan,nan,nan,5.22296926367569e-05,0.0012834882128022007,0.25702372414241514,0.0
AR,longer_length,30,60,GFE + Agg. Shock,C_random_geometry,0.6,TSLS,1000,0.87,nan,nan,nan,nan,0.010633621095183062,0.0126317426902449,0.25702372414241514,0.0
AR,longer_length,30,60,GFE + Agg. Shock,C_random_geometry,1.4,SIV,1000,0.931,nan,nan,nan,nan,0.00013200099578942884,0.001362191281372582,0.25528743534721743,0.0
AR,longer_length,30,60,GFE + Agg. Shock,C_random_geometry,1.4,TSLS,1000,0.668,nan,nan,nan,nan,0.024811782555427146,0.02680990415048898,0.25528743534721743,0.0
AR,longer_length,30,60,GFE + Agg. Shock,C_random_geometry,2.0,SIV,1000,0.929,nan,nan,nan,nan,0.0001661068143165807,0.0013854589597498137,0.25403091658623866,0.0
AR,longer_length,30,60,GFE + Agg. Shock,C_random_geometry,2.0,TSLS,1000,0.476,nan,nan,nan,nan,0.03544540365061021,0.03744352524567205,0.25403091658623866,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,0.0,SIV,1000,0.898,-0.00010648135349558663,0.014168145496703219,0.018034345736677497,0.0172916383221371,0.0,-0.00010648135349558603,0.8443775579349695,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,0.0,TSLS,1000,0.911,-0.00022484494446467097,0.01106651239283519,0.01383627153377077,0.013308831954091577,0.0,-0.00022484494446466918,0.8443775579349695,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,0.6,SIV,1000,0.898,-0.0001064206813039621,0.014168335496693357,0.01803458450400114,0.01729182622518012,1.7411176124622406e-07,-0.00010642068130397426,0.8443657912717016,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,0.6,TSLS,1000,0.883,0.008171637976706314,0.01300570728604049,0.01675473919144421,0.013539199824972948,0.008396482921170992,0.008171637976706314,0.8443657912717016,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,1.4,SIV,1000,0.898,-0.00010634180597395049,0.014168575587806185,0.018034896107792735,0.01729206211157068,3.8506741516856245e-07,-0.00010634180597396022,0.8443509702709427,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,1.4,TSLS,1000,0.749,0.01936694853826765,0.020784187707130072,0.02634257292219203,0.014675953215389455,0.019591793482732316,0.019366948538267644,0.8443509702709427,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,2.0,SIV,1000,0.898,-0.00010628442591301045,0.014168745684675587,0.018035123504065227,0.017292229261361116,5.286521305284158e-07,-0.00010628442591300974,0.8443404714662824,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,2.0,TSLS,1000,0.631,0.027763431459438645,0.02835102356274962,0.034992385842143654,0.016117698862193795,0.02798827640390331,0.027763431459438638,0.8443404714662824,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,B_SIV_targeted,0.0,SIV,1000,0.898,-0.00010648135349558663,0.014168145496703219,0.018034345736677497,0.0172916383221371,0.0,-0.00010648135349558603,0.8443775579349695,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,B_SIV_targeted,0.0,TSLS,1000,0.911,-0.00022484494446467097,0.01106651239283519,0.01383627153377077,0.013308831954091577,0.0,-0.00022484494446466918,0.8443775579349695,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,B_SIV_targeted,0.6,SIV,1000,0.898,-7.680871579362591e-05,0.014186157048082208,0.01805159058130663,0.01730032274342917,3.319228524287229e-05,-7.680871579362351e-05,0.8444178326847285,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,B_SIV_targeted,0.6,TSLS,1000,0.87,0.001783487709141287,0.013215231270561184,0.016815057002262792,0.0136330419584372,0.0020083326536059517,0.0017834877091412805,0.8444178326847285,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,B_SIV_targeted,1.4,SIV,1000,0.898,-4.660033582126766e-05,0.014188056353711795,0.01805108503887329,0.01729896699094642,7.11726228170421e-05,-4.660033582128399e-05,0.8444866568885955,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,B_SIV_targeted,1.4,TSLS,1000,0.731,0.004461264580615877,0.021165065888426426,0.02643209816867379,0.01487609467075573,0.0046861095250805545,0.004461264580615878,0.8444866568885955,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,B_SIV_targeted,2.0,SIV,1000,0.898,-1.7286674448851125e-05,0.014196014950262363,0.018054659123680674,0.017303335598579217,0.00010279983295089388,-1.7286674448845822e-05,0.8445197640196936,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,B_SIV_targeted,2.0,TSLS,1000,0.612,0.006469597234221823,0.02880887716259632,0.03508869602847745,0.0163670118014067,0.006694442178686506,0.006469597234221828,0.8445197640196936,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,C_random_geometry,0.0,SIV,1000,0.898,-0.00010648135349558663,0.014168145496703219,0.018034345736677497,0.0172916383221371,0.0,-0.00010648135349558603,0.8443775579349695,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,C_random_geometry,0.0,TSLS,1000,0.911,-0.00022484494446467097,0.01106651239283519,0.01383627153377077,0.013308831954091577,0.0,-0.00022484494446466918,0.8443775579349695,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,C_random_geometry,0.6,SIV,1000,0.898,-8.723796997670896e-05,0.014150190830856054,0.018024277388620127,0.017293468065207037,2.0347762396172557e-05,-8.723796997671153e-05,0.8443820629478964,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,C_random_geometry,0.6,TSLS,1000,0.883,0.008171637976706322,0.013005707286040495,0.016754739191444212,0.013539199824972948,0.008396482921170992,0.008171637976706315,0.8443820629478964,0.0
ARIMA-Z,finite_length,5,10,Aggregate Shock,C_random_geometry,1.4,SIV,1000,0.898,-0.0001658464387239118,0.014231351056669572,0.018171088242973185,0.017309766295422222,-5.675149877056615e-05,-0.00016584643872391973,0.844374878691168,0.0
