method,config,T0,T1,branch,arm,severity,n_pairs,delta_coverage_siv_minus_tsls,mcse_delta_coverage,bias_tsls,bias_siv,delta_signed_bias_siv_minus_tsls,mcse_delta_signed_bias,delta_abs_bias_siv_minus_tsls,mcse_delta_abs_bias,rmse_tsls,rmse_siv,delta_rmse_siv_minus_tsls,mcse_delta_rmse
ARIMA-Z,finite_length,5,10,Aggregate Shock,C_random_geometry,1.4,1000,0.14,0.013877773329774218,0.019366948538267644,-0.00016584643871257065,-0.019532794976980218,0.00048753673072146104,-0.006552836650480538,0.0005455612173609453,0.02634257292219203,0.01817108824292598,-0.00817148467926605,0.0007698031721741806
ARIMA-Z,finite_length,5,10,Aggregate Shock,C_random_geometry,2.0,1000,0.226,0.015785220086307734,0.027763431459438635,-0.0003217756628149797,-0.028085207122253614,0.0006427889965410115,-0.01396083845235207,0.0007069456187569298,0.03499238584214365,0.019339545309262983,-0.015652840532880664,0.0016103218668926892
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,0.0,1000,-0.014,0.010579031898804157,0.007170527546618315,0.004569554408806144,-0.0026009731378121704,0.0010257967051469123,0.008478187528419999,0.0007242914337455611,0.023812567168886675,0.034922232476041634,0.011109665307154959,0.001041008025805137
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,0.6,1000,0.038,0.012518494826164711,0.01961525193130157,0.004583615505515501,-0.015031636425786069,0.001087666466803776,0.002536246059719062,0.0008264435712564423,0.032553209842553,0.03517563551622305,0.002622425673670048,0.0011667541262051198
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,1.4,1000,0.163,0.015577986829936457,0.036208217777545876,0.004575173653220556,-0.03163304412432532,0.0013578907314036742,-0.00919281411500707,0.0010575419045160022,0.04910721457985467,0.03866615524489061,-0.010441059334964059,0.0015452744212455106
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,2.0,1000,0.268,0.017218376011473104,0.048652942162229124,0.004562236646684936,-0.04409070551554418,0.0016472136371479462,-0.018894760005364004,0.0012274413440884417,0.06282162037880942,0.04324294383597018,-0.019578676542839242,0.0019673615851524572
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,0.0,1000,-0.014,0.010579031898804157,0.007170527546618315,0.004569554408806144,-0.0026009731378121704,0.0010257967051469123,0.008478187528419999,0.0007242914337455611,0.023812567168886675,0.034922232476041634,0.011109665307154959,0.001041008025805137
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,0.6,1000,-0.013,0.011873161835499925,0.007842697683355897,0.016431615138148035,0.008588917454792138,0.00127940623613203,0.010211633860006578,0.0009473392359105609,0.027511187875404085,0.04188381888655116,0.014372631011147077,0.0018074052579812017
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,1.4,1000,0.044,0.014909268469186752,0.00873892453233932,0.031046533727863392,0.02230760919552407,0.0018506085018103434,0.010998498797053034,0.001357931818860337,0.038985400878732854,0.05718703106332913,0.01820163018459628,0.00292607689001099
ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,2.0,1000,0.091,0.01723415260510409,0.009411094669076886,0.04075074557825958,0.03133965090918269,0.002285524892507235,0.010038169401965346,0.0015938677890019399,0.04974463200760508,0.06834744046157913,0.01860280845397405,0.0034735717716827177
