config,T0,T1,branch,arm,severity,attempted_cells,retained_cells,excluded_cells,cap_bound_cells,mean_K,mean_q_w_rank1_trace_share,mean_q_w_rank2_trace_share,mean_achieved_max_kappa,mean_direction_corr_tsls,mean_direction_corr_siv,mean_lambda_tsls,mean_lambda_siv,mean_kappa_tsls,mean_kappa_siv
finite_length,5,10,Aggregate Shock,C_random_geometry,1.4,1000,1000,0,0,3800.676629304717,0.914422329718871,0.9651226182545106,1.3999999999999997,-0.4191468283919891,-6.854338139835832e-06,-0.010350760809010588,-2.0329140373245967e-07,3800.676629304717,0.24888473644345857
finite_length,5,10,Aggregate Shock,C_random_geometry,2.0,1000,1000,0,0,3800.676629304717,0.914422329718871,0.9651226182545106,2.0,-0.4191468283919891,-6.854338139835832e-06,-0.010350760809010588,-2.0329140373245967e-07,3800.676629304717,0.24888473644345857
finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,0.0,1000,1000,0,0,2852.45683740923,0.914422329718871,0.9651226182545106,0.0,-0.4448475637025723,-0.014018408403480478,-0.010969576440958266,-0.0002949060270046901,2842.48604632465,558.5035852463045
finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,0.6,1000,1000,0,0,2852.45683740923,0.914422329718871,0.9651226182545106,0.5999999999999998,-0.4448475637025723,-0.014018408403480478,-0.010969576440958266,-0.0002949060270046901,2842.48604632465,558.5035852463045
finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,1.4,1000,1000,0,0,2852.45683740923,0.914422329718871,0.9651226182545106,1.3999999999999997,-0.4448475637025723,-0.014018408403480478,-0.010969576440958266,-0.0002949060270046901,2842.48604632465,558.5035852463045
finite_length,5,10,GFE + Agg. Shock,A_TSLS_targeted,2.0,1000,1000,0,0,2852.45683740923,0.914422329718871,0.9651226182545106,2.0,-0.4448475637025723,-0.014018408403480478,-0.010969576440958266,-0.0002949060270046901,2842.48604632465,558.5035852463045
finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,0.0,1000,1000,0,0,2898.873361854482,0.914422329718871,0.9651226182545106,0.0,-0.03499702498233044,-0.25045066141453043,-0.0008882647916494955,-0.009340610619932252,2440.9093132818725,1772.7213462393536
finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,0.6,1000,1000,0,0,2898.873361854482,0.914422329718871,0.9651226182545106,0.5999999999999998,-0.03499702498233044,-0.25045066141453043,-0.0008882647916494955,-0.009340610619932252,2440.9093132818725,1772.7213462393536
finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,1.4,1000,1000,0,0,2898.873361854482,0.914422329718871,0.9651226182545106,1.3999999999999997,-0.03499702498233044,-0.25045066141453043,-0.0008882647916494955,-0.009340610619932252,2440.9093132818725,1772.7213462393536
finite_length,5,10,GFE + Agg. Shock,B_SIV_targeted,2.0,1000,1000,0,0,2898.873361854482,0.914422329718871,0.9651226182545106,2.0,-0.03499702498233044,-0.25045066141453043,-0.0008882647916494955,-0.009340610619932252,2440.9093132818725,1772.7213462393536
finite_length,5,10,GFE + Agg. Shock,C_random_geometry,0.0,1000,1000,0,0,2732.0296436522,0.914422329718871,0.9651226182545106,0.0,-0.4081123688304134,-0.026180977039770605,-0.01007413112821763,-0.0007755487609760159,2667.3365346636783,688.2671350564857
finite_length,5,10,GFE + Agg. Shock,C_random_geometry,0.6,1000,1000,0,0,2732.0296436522,0.914422329718871,0.9651226182545106,0.5999999999999998,-0.4081123688304134,-0.026180977039770605,-0.01007413112821763,-0.0007755487609760159,2667.3365346636783,688.2671350564857
finite_length,5,10,GFE + Agg. Shock,C_random_geometry,1.4,1000,1000,0,0,2732.0296436522,0.914422329718871,0.9651226182545106,1.3999999999999997,-0.4081123688304134,-0.026180977039770605,-0.01007413112821763,-0.0007755487609760159,2667.3365346636783,688.2671350564857
finite_length,5,10,GFE + Agg. Shock,C_random_geometry,2.0,1000,1000,0,0,2732.0296436522,0.914422329718871,0.9651226182545106,2.0,-0.4081123688304134,-0.026180977039770605,-0.01007413112821763,-0.0007755487609760159,2667.3365346636783,688.2671350564857
longer_length,30,60,Aggregate Shock,A_TSLS_targeted,0.0,1000,1000,0,0,9257.039286921181,0.8213746828091644,0.8400352191077678,0.0,-0.5587667184235067,-0.00021563994782988974,-0.012994920092241997,-1.3477973828362108e-05,9257.039286921181,12.753389907758063
longer_length,30,60,Aggregate Shock,A_TSLS_targeted,0.6,1000,1000,0,0,9257.039286921181,0.8213746828091644,0.8400352191077678,0.5999999999999998,-0.5587667184235067,-0.00021563994782988974,-0.012994920092241997,-1.3477973828362108e-05,9257.039286921181,12.753389907758063
longer_length,30,60,Aggregate Shock,A_TSLS_targeted,1.4,1000,1000,0,0,9257.039286921181,0.8213746828091644,0.8400352191077678,1.3999999999999997,-0.5587667184235067,-0.00021563994782988974,-0.012994920092241997,-1.3477973828362108e-05,9257.039286921181,12.753389907758063
