anchor_mode,target_role,tau_true,config,T0,T1,branch,estimator,method,n,coverage,coverage_mcse,mean_bias,absolute_bias,mean_abs_error,rmse,mean_se,sd_error,mean_weight_corr,mean_weight_max_abs
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Basic,TSLS,ARIMA-Z,1000,0.9,0.009486832980505136,0.00111621251301088,0.00111621251301088,0.017069212562017367,0.02361862971046641,0.019240458924124123,0.023604043931408032,0.934528132971296,0.12417452807954846
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Basic,TSLS,HAC,1000,0.824,0.012042591083317579,0.00111621251301088,0.00111621251301088,0.017069212562017367,0.02361862971046641,0.01661694248207276,0.023604043931408032,0.934528132971296,0.12417452807954846
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,GFE,SIV,AR,1000,0.812,0.01235540367612487,,,,,,,0.9336887671454831,0.12737611863700513
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,GFE,SIV,ARIMA-Z,1000,0.884,0.010126401137620413,-1.3798899964854171e-05,1.3798899964854171e-05,0.04961722585594724,0.09046302931983664,0.05626392691310728,0.09050829373348351,0.9336887671454831,0.12737611863700513
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,GFE,SIV,HAC,1000,0.785,0.012991343271578961,-1.3798899964854171e-05,1.3798899964854171e-05,0.04961722585594724,0.09046302931983664,0.04314654741241136,0.09050829373348351,0.9336887671454831,0.12737611863700513
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,GFE,TSLS,AR,1000,0.811,0.012380589646701,,,,,,,0.9336887671454831,0.12383635155781915
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,GFE,TSLS,ARIMA-Z,1000,0.849,0.01132249972400088,0.019795946262067324,0.019795946262067324,0.3729980424998014,0.5664456330069618,0.37484053615457924,0.5663828786514266,0.9336887671454831,0.12383635155781915
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,GFE,TSLS,HAC,1000,0.802,0.012601428490452976,0.019795946262067324,0.019795946262067324,0.3729980424998014,0.5664456330069618,0.30792893573827806,0.5663828786514266,0.9336887671454831,0.12383635155781915
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,GFE + Agg. Shock,SIV,AR,1000,0.714,0.014289996501049257,,,,,,,0.7462682455918314,0.117348719552327
fixed_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,GFE + Agg. Shock,SIV,ARIMA-Z,1000,0.809,0.012430567163247216,0.060506590531507524,0.060506590531507524,0.1449579993925701,0.24664420799221878,0.12830904913035393,0.23922697879994034,0.7462682455918314,0.117348719552327
