anchor_mode,target_role,midpoint_role,branch,estimator,n,mean_weight_correlation_with_midpoint,median_weight_correlation_with_midpoint,max_weight_correlation_with_midpoint,mean_weight_rms_distance,median_weight_rms_distance,max_weight_rms_distance,mean_weight_relative_rms_distance,median_weight_relative_rms_distance,max_weight_relative_rms_distance,mean_weight_max_abs_difference,median_weight_max_abs_difference,max_weight_max_abs_difference
fixed_template,restricted_tsls,restricted_midpoint,GFE + Agg. Shock,TSLS,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reanchored_template,restricted_robust,restricted_midpoint,Aggregate Shock,SIV,1000,0.9999825529552513,0.9999992559322967,0.9999999998931064,9.320165187844809e-05,3.495501998561367e-05,0.0014184468365471665,0.0032845359011483715,0.00124997031022466,0.045507556973853336,0.00023729812250026695,8.753163206922469e-05,0.004185768505730506
reanchored_template,restricted_robust,restricted_midpoint,Aggregate Shock,TSLS,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reanchored_template,restricted_robust,restricted_midpoint,Basic,SIV,1000,0.9999999959185837,0.9999999976485983,0.9999999999755064,2.358205937478754e-06,1.9422601127686783e-06,1.0100140112329353e-05,8.27183236015166e-05,7.046119977454129e-05,0.00030856603427056113,5.931898418569101e-06,4.841319233306676e-06,3.3976204687348466e-05
reanchored_template,restricted_robust,restricted_midpoint,Basic,TSLS,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reanchored_template,restricted_robust,restricted_midpoint,GFE,SIV,1000,0.9995676993909617,0.999630844093218,0.9999665543557594,0.000788484686352265,0.0007709153554106975,0.002040210753528296,0.028013147756691743,0.02725838028699882,0.06880324424405579,0.0023000928444118105,0.002222029600855532,0.005467046066751306
reanchored_template,restricted_robust,restricted_midpoint,GFE,TSLS,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reanchored_template,restricted_robust,restricted_midpoint,GFE + Agg. Shock,SIV,1000,0.9996168079130534,0.9996856685652264,0.9999857650177566,0.0007152640403386788,0.000679363079450941,0.0020611603113148565,0.02599338931530795,0.0251822584657967,0.059622796633532926,0.002058085703208099,0.0019328493267850603,0.00616033218471208
reanchored_template,restricted_robust,restricted_midpoint,GFE + Agg. Shock,TSLS,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reanchored_template,restricted_tsls,restricted_midpoint,Aggregate Shock,SIV,1000,0.9999952213469394,0.9999998436028836,0.9999999999672672,4.6938946839739565e-05,1.5945509699965432e-05,0.0007924973205104822,0.0016516080458769044,0.0005749934734387938,0.025425427330464243,0.00011975222374465518,3.983157577765271e-05,0.0022751438825716367
reanchored_template,restricted_tsls,restricted_midpoint,Aggregate Shock,TSLS,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reanchored_template,restricted_tsls,restricted_midpoint,Basic,SIV,1000,0.999999999516613,0.9999999997224069,0.9999999999968268,8.119478562685229e-07,6.609530957952268e-07,3.332424701495346e-06,2.847944678898488e-05,2.4247879629320622e-05,0.00010494212066237671,2.0416813067056534e-06,1.6803310069878757e-06,1.1033413972731665e-05
reanchored_template,restricted_tsls,restricted_midpoint,Basic,TSLS,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reanchored_template,restricted_tsls,restricted_midpoint,GFE,SIV,1000,0.9996041704012776,0.9996512118044534,0.9999725890878354,0.0007660334097058486,0.0007517971105164977,0.001964746158275658,0.02721239885340806,0.026546300815331804,0.06625830668308726,0.002215758538141615,0.002167029906730928,0.005135833233700333
reanchored_template,restricted_tsls,restricted_midpoint,GFE,TSLS,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reanchored_template,restricted_tsls,restricted_midpoint,GFE + Agg. Shock,SIV,1000,0.9996364376923819,0.9996912708058954,0.9999856281006121,0.000707363478485733,0.0006837349160898458,0.001979383590114194,0.0256863528239655,0.02500986651814103,0.05796687619960548,0.002026053341132734,0.0019137258586059335,0.006035285788502404
reanchored_template,restricted_tsls,restricted_midpoint,GFE + Agg. Shock,TSLS,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
