anchor_mode,target_role,tau_true,config,T0,T1,branch,method,n_pairs,coverage_tsls,coverage_robust,delta_coverage_robust_minus_tsls,mcse_delta_coverage,bias_tsls,bias_robust,delta_signed_bias_robust_minus_tsls,mcse_delta_signed_bias,absolute_bias_tsls,absolute_bias_robust,delta_absolute_bias_robust_minus_tsls,delta_mean_abs_error_robust_minus_tsls,mcse_delta_mean_abs_error,rmse_tsls,rmse_robust,delta_rmse_robust_minus_tsls,mcse_delta_rmse
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,GFE + Agg. Shock,ARIMA-Z,1000,0.636,0.808,0.172,0.016932297620308435,0.8799979008763774,0.06117376984031758,-0.8188241310360597,0.3018818176775541,0.8799979008763774,0.06117376984031758,-0.8188241310360598,-1.0150273589137455,0.30104490500033604,9.585562683232665,0.24729904304740666,-9.338263640185257,3.52116545220318
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,GFE + Agg. Shock,HAC,1000,0.495,0.683,0.188,0.018520232152945574,0.8799979008763774,0.06117376984031758,-0.8188241310360597,0.3018818176775541,0.8799979008763774,0.06117376984031758,-0.8188241310360598,-1.0150273589137455,0.30104490500033604,9.585562683232665,0.24729904304740666,-9.338263640185257,3.52116545220318
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,Aggregate Shock,AR,1000,0.467,0.676,0.209,0.017424770375032858,,,,,,,,,,,,,
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,Aggregate Shock,ARIMA-Z,1000,0.53,0.777,0.247,0.016919730413847534,0.3565993450724941,0.012372824437522335,-0.3442265206349717,0.08471970696132758,0.3565993450724941,0.012372824437522335,-0.3442265206349717,-0.6972640339563184,0.08219661820813674,2.703191765947987,0.06622896902317187,-2.6369627969248155,1.0988485625192446
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,Aggregate Shock,HAC,1000,0.416,0.654,0.238,0.017767151478829457,0.3565993450724941,0.012372824437522335,-0.3442265206349717,0.08471970696132758,0.3565993450724941,0.012372824437522335,-0.3442265206349717,-0.6972640339563184,0.08219661820813674,2.703191765947987,0.06622896902317187,-2.6369627969248155,1.0988485625192446
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,Basic,AR,1000,0.834,0.84,0.006,0.009594584725565566,,,,,,,,,,,,,
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,Basic,ARIMA-Z,1000,0.9,0.902,0.002,0.007749584250529576,0.0011162125130108906,0.0010161313814275917,-0.0001000811315832989,0.00027154856100821204,0.0011162125130108906,0.0010161313814275917,-0.00010008113158329886,0.0011346989738862331,0.00025657155301333514,0.023618629710466417,0.026032231359096082,0.002413601648629665,0.0012135674888249278
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,Basic,HAC,1000,0.824,0.835,0.011,0.009745459146390897,0.0011162125130108906,0.0010161313814275917,-0.0001000811315832989,0.00027154856100821204,0.0011162125130108906,0.0010161313814275917,-0.00010008113158329886,0.0011346989738862331,0.00025657155301333514,0.023618629710466417,0.026032231359096082,0.002413601648629665,0.0012135674888249278
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,GFE,AR,1000,0.811,0.812,0.001,0.015271942647621235,,,,,,,,,,,,,
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,GFE,ARIMA-Z,1000,0.849,0.884,0.035,0.013709958532503404,0.019795946262067328,-2.0129199939614927e-05,-0.019816075462006942,0.017672902460214728,0.019795946262067328,2.0129199939614927e-05,-0.019775817062127714,-0.3233897629671279,0.013264361198187129,0.5664456330069619,0.09047075702165462,-0.4759748759853073,0.06758784825927269
