branch,calibration_scope,variant,family,method,n,mean_bias,mean_abs_error,median_abs_error,rmse,tau_mc_sd,mean_se,median_se,mean_se_over_tau_mc_sd,target_containment,containment_mcse,pi_q10,pi_median,pi_q90
Basic,nominal_coverage,robust_population_true_d,Robust SIV,AR,5000,-0.0002200266550213931,0.01502954690361114,0.01185153123662025,0.01971799006402232,0.019718734394813933,nan,nan,nan,0.8334,0.005269619341090967,0.9689816327019704,1.0005611669782364,1.0305513056553433
Basic,nominal_coverage,robust_population_true_d,Robust SIV,ARIMA-Z,5000,-0.0002200266550213931,0.01502954690361114,0.01185153123662025,0.01971799006402232,0.019718734394813933,0.01635188861473214,0.012931850037504949,0.8292564972644855,0.8696,0.00476226500732582,0.9689816327019704,1.0005611669782364,1.0305513056553433
Basic,nominal_coverage,robust_population_true_d,Robust SIV,HAC,5000,-0.0002200266550213931,0.01502954690361114,0.01185153123662025,0.01971799006402232,0.019718734394813933,0.014747127890903511,0.013132974080456349,0.747873955581147,0.8274,0.005344328582712706,0.9689816327019704,1.0005611669782364,1.0305513056553433
Basic,nominal_coverage,robust_reported_simulation,Robust SIV,AR,5000,-0.00025722457530645034,0.017289239150033973,0.0137278837507579,0.023291311970211295,0.023292220897167835,nan,nan,nan,0.837,0.005223619434836348,0.7238687382214204,0.908887599014458,0.9925899187611511
Basic,nominal_coverage,robust_reported_simulation,Robust SIV,ARIMA-Z,5000,-0.00025722457530645034,0.017289239150033973,0.0137278837507579,0.023291311970211295,0.023292220897167835,0.018869490300227595,0.01506958828482435,0.8101198412197113,0.8734,0.00470260438480636,0.7238687382214204,0.908887599014458,0.9925899187611511
Basic,nominal_coverage,robust_reported_simulation,Robust SIV,HAC,5000,-0.00025722457530645034,0.017289239150033973,0.0137278837507579,0.023291311970211295,0.023292220897167835,0.01723870088646671,0.0151823868925326,0.7401055040038201,0.8312,0.005297292893544777,0.7238687382214204,0.908887599014458,0.9925899187611511
Basic,nominal_coverage,tsls_full_dhat,TSLS,AR,5000,-0.00018233884983389584,0.014938024515889064,0.0118138932065319,0.019555159088763305,0.019556264700308138,nan,nan,nan,0.8324,0.005282238919246269,0.9808161638020425,1.0002104490608756,1.0203138982391302
Basic,nominal_coverage,tsls_full_dhat,TSLS,ARIMA-Z,5000,-0.00018233884983389584,0.014938024515889064,0.0118138932065319,0.019555159088763305,0.019556264700308138,0.016227102801588726,0.012882115692247599,0.829764939791035,0.8662,0.00481451056702548,0.9808161638020425,1.0002104490608756,1.0203138982391302
Basic,nominal_coverage,tsls_full_dhat,TSLS,HAC,5000,-0.00018233884983389584,0.014938024515889064,0.0118138932065319,0.019555159088763305,0.019556264700308138,0.014637891292784323,0.0130222410828414,0.7485013890486807,0.8258,0.005363848618296382,0.9808161638020425,1.0002104490608756,1.0203138982391302
Basic,nominal_coverage,tsls_learning_dhat,TSLS,AR,5000,-0.00018133492200499393,0.01634810593045928,0.012780078516549,0.02181172375501811,0.021813151389150943,nan,nan,nan,0.8358,0.005239052586107531,0.7199580505919239,0.910564478352238,0.9899358279578687
Basic,nominal_coverage,tsls_learning_dhat,TSLS,ARIMA-Z,5000,-0.00018133492200499393,0.01634810593045928,0.012780078516549,0.02181172375501811,0.021813151389150943,0.017601497402848987,0.013973268574523499,0.8069213424889774,0.8714,0.004734174479251901,0.7199580505919239,0.910564478352238,0.9899358279578687
Basic,nominal_coverage,tsls_learning_dhat,TSLS,HAC,5000,-0.00018133492200499393,0.01634810593045928,0.012780078516549,0.02181172375501811,0.021813151389150943,0.0161726462627892,0.01418794431622415,0.7414172291873826,0.8246,0.005378379681651343,0.7199580505919239,0.910564478352238,0.9899358279578687
Basic,nominal_coverage,tsls_true_d,TSLS,AR,5000,-0.00021301511883663107,0.015017446199277253,0.01183173427367615,0.01969378011499827,0.019694597614882087,nan,nan,nan,0.8334,0.005269619341090967,0.9690296000876968,1.0006314802510992,1.0304916866675125
Basic,nominal_coverage,tsls_true_d,TSLS,ARIMA-Z,5000,-0.00021301511883663107,0.015017446199277253,0.01183173427367615,0.01969378011499827,0.019694597614882087,0.01634756340616626,0.012936967604078451,0.8300531813766702,0.8684,0.004780825033401662,0.9690296000876968,1.0006314802510992,1.0304916866675125
Basic,nominal_coverage,tsls_true_d,TSLS,HAC,5000,-0.00021301511883663107,0.015017446199277253,0.01183173427367615,0.01969378011499827,0.019694597614882087,0.01474439168125415,0.0131360386564379,0.7486515830164843,0.8258,0.005363848618296382,0.9690296000876968,1.0006314802510992,1.0304916866675125
GFE,nominal_coverage,robust_full_empirical,Robust SIV,AR,5000,-0.0006442574741475457,0.04207413476730004,0.02771069365795615,0.0658484204976984,0.06585185424640896,nan,nan,nan,0.8144,0.00549822953322249,0.9778954263797526,1.0020105540502748,1.031552631597707
GFE,nominal_coverage,robust_full_empirical,Robust SIV,ARIMA-Z,5000,-0.0006442574741475457,0.04207413476730004,0.02771069365795615,0.0658484204976984,0.06585185424640896,0.04670902430122362,0.0313474927654105,0.7093046177030812,0.8674,0.004796190988690922,0.9778954263797526,1.0020105540502748,1.031552631597707
GFE,nominal_coverage,robust_full_empirical,Robust SIV,HAC,5000,-0.0006442574741475457,0.04207413476730004,0.02771069365795615,0.0658484204976984,0.06585185424640896,0.03685983368792905,0.02710439118028985,0.559738736437161,0.7854,0.005805976920381272,0.9778954263797526,1.0020105540502748,1.031552631597707
GFE,nominal_coverage,robust_learned_q_true_d,Robust SIV,AR,5000,-0.0013474782764567798,0.042981977675745194,0.028466403441612748,0.06730480950034169,0.06729804967210964,nan,nan,nan,0.8158,0.005482159428546383,0.9526525348723733,1.0002287318252479,1.0472467083299852
GFE,nominal_coverage,robust_learned_q_true_d,Robust SIV,ARIMA-Z,5000,-0.0013474782764567798,0.042981977675745194,0.028466403441612748,0.06730480950034169,0.06729804967210964,0.04767457925289417,0.0320303887688292,0.7084095227907011,0.869,0.004771561589249373,0.9526525348723733,1.0002287318252479,1.0472467083299852
GFE,nominal_coverage,robust_learned_q_true_d,Robust SIV,HAC,5000,-0.0013474782764567798,0.042981977675745194,0.028466403441612748,0.06730480950034169,0.06729804967210964,0.03768491503961644,0.02775279379196105,0.5599703887887588,0.7898,0.005762221099541392,0.9526525348723733,1.0002287318252479,1.0472467083299852
GFE,nominal_coverage,robust_population_q_full_dhat,Robust SIV,AR,5000,0.002091128856544869,0.05307803896051439,0.04436105005297685,0.06718055068169239,0.06715471332010158,nan,nan,nan,0.8632,0.004859748141622156,0.9802469347354134,1.0019681773952078,1.0277131389635936
GFE,nominal_coverage,robust_population_q_full_dhat,Robust SIV,ARIMA-Z,5000,0.002091128856544869,0.05307803896051439,0.04436105005297685,0.06718055068169239,0.06715471332010158,0.06359005741318087,0.051792941804960455,0.9469187532686,0.9152,0.003939770551694604,0.9802469347354134,1.0019681773952078,1.0277131389635936
GFE,nominal_coverage,robust_population_q_full_dhat,Robust SIV,HAC,5000,0.002091128856544869,0.05307803896051439,0.04436105005297685,0.06718055068169239,0.06715471332010158,0.04962183871929381,0.046091821649773004,0.7389181825967291,0.8144,0.00549822953322249,0.9802469347354134,1.0019681773952078,1.0277131389635936
GFE,nominal_coverage,robust_population_true_d,Robust SIV,AR,5000,-0.0021883746471921635,0.05462769500652542,0.046458409161016,0.06901831568407192,0.06899051278574951,nan,nan,nan,0.863,0.004862735855462437,0.9567312236078808,1.0004885726652417,1.0437013118365366
GFE,nominal_coverage,robust_population_true_d,Robust SIV,ARIMA-Z,5000,-0.0021883746471921635,0.05462769500652542,0.046458409161016,0.06901831568407192,0.06899051278574951,0.06558014207418698,0.05335268508110435,0.9505675407551545,0.9146,0.003952387632811337,0.9567312236078808,1.0004885726652417,1.0437013118365366
GFE,nominal_coverage,robust_population_true_d,Robust SIV,HAC,5000,-0.0021883746471921635,0.05462769500652542,0.046458409161016,0.06901831568407192,0.06899051278574951,0.05122564760930353,0.04757670116636875,0.7425027810473755,0.8156,0.00548446241668224,0.9567312236078808,1.0004885726652417,1.0437013118365366
GFE,nominal_coverage,robust_reported_simulation,Robust SIV,AR,5000,-0.0004459536604718565,0.04642154447685474,0.0297950688392686,0.0753647117107578,0.07537092975404233,nan,nan,nan,0.8188,0.005447321543657947,0.7105120832145696,0.902782984149405,0.9959754847300268
GFE,nominal_coverage,robust_reported_simulation,Robust SIV,ARIMA-Z,5000,-0.0004459536604718565,0.04642154447685474,0.0297950688392686,0.0753647117107578,0.07537092975404233,0.05081107129272774,0.0346311200722612,0.6741468024649127,0.8724,0.0047184370293562265,0.7105120832145696,0.902782984149405,0.9959754847300268
GFE,nominal_coverage,robust_reported_simulation,Robust SIV,HAC,5000,-0.0004459536604718565,0.04642154447685474,0.0297950688392686,0.0753647117107578,0.07537092975404233,0.040801646734134375,0.0302147236147054,0.5413446121373616,0.7968,0.0056905142122658835,0.7105120832145696,0.902782984149405,0.9959754847300268
GFE,nominal_coverage,tsls_full_dhat,TSLS,AR,5000,-0.05301173501792022,0.31397412619575965,0.2684231872023507,0.39431902505876276,0.39077844238377507,nan,nan,nan,0.8128,0.005516451033046519,0.9774134005175459,1.0020367388007552,1.032639993597915
GFE,nominal_coverage,tsls_full_dhat,TSLS,ARIMA-Z,5000,-0.05301173501792022,0.31397412619575965,0.2684231872023507,0.39431902505876276,0.39077844238377507,0.3217587494930306,0.2530182117441398,0.8233789651503811,0.8186,0.005449661273877487,0.9774134005175459,1.0020367388007552,1.032639993597915
GFE,nominal_coverage,tsls_full_dhat,TSLS,HAC,5000,-0.05301173501792022,0.31397412619575965,0.2684231872023507,0.39431902505876276,0.39077844238377507,0.2597084192142283,0.22501430600745445,0.6645924929481506,0.807,0.005581236422155936,0.9774134005175459,1.0020367388007552,1.032639993597915
GFE,nominal_coverage,tsls_learning_dhat,TSLS,AR,5000,0.006806074946730549,0.3644890164932041,0.2827958288509152,0.5136571263012261,0.5136634022022648,nan,nan,nan,0.8114,0.005532269696968867,0.7131075676043395,0.9040381580495935,0.9979701179863363
GFE,nominal_coverage,tsls_learning_dhat,TSLS,ARIMA-Z,5000,0.006806074946730549,0.3644890164932041,0.2827958288509152,0.5136571263012261,0.5136634022022648,0.36133431741883354,0.2737793606128138,0.7034457114710913,0.817,0.005468290409259553,0.7131075676043395,0.9040381580495935,0.9979701179863363
GFE,nominal_coverage,tsls_learning_dhat,TSLS,HAC,5000,0.006806074946730549,0.3644890164932041,0.2827958288509152,0.5136571263012261,0.5136634022022648,0.2958399766436754,0.24151568226247774,0.5759413175540639,0.8044,0.005609645978134449,0.7131075676043395,0.9040381580495935,0.9979701179863363
GFE,nominal_coverage,tsls_true_d,TSLS,AR,5000,-0.0007637870083578267,0.3241441692746149,0.29665038976454894,0.39234275911139405,0.3923812557532796,nan,nan,nan,0.8056,0.0055965818139289275,0.9456226293536523,1.0005697521457773,1.054820349972657
GFE,nominal_coverage,tsls_true_d,TSLS,ARIMA-Z,5000,-0.0007637870083578267,0.3241441692746149,0.29665038976454894,0.39234275911139405,0.3923812557532796,0.33144494418946635,0.25890299454205623,0.8447012677839821,0.8082,0.005567993534479005,0.9456226293536523,1.0005697521457773,1.054820349972657
GFE,nominal_coverage,tsls_true_d,TSLS,HAC,5000,-0.0007637870083578267,0.3241441692746149,0.29665038976454894,0.39234275911139405,0.3923812557532796,0.26839569264826735,0.2396138812825151,0.6840176198860745,0.803,0.005624784440314135,0.9456226293536523,1.0005697521457773,1.054820349972657
GFE + Agg. Shock,shock_active_containment,robust_full_empirical,Robust SIV,AR,5000,0.05720670259177504,0.12264521071045763,0.06704151008720136,0.20198392281384175,0.1937328179085598,nan,nan,nan,0.7116,0.006406644051295499,0.9462622973579787,1.0018297825458533,1.0543966136675371
GFE + Agg. Shock,shock_active_containment,robust_full_empirical,Robust SIV,ARIMA-Z,5000,0.05720670259177504,0.12264521071045763,0.06704151008720136,0.20198392281384175,0.1937328179085598,0.10792007446693287,0.0620584713931766,0.5570562366871246,0.775,0.005905505905508858,0.9462622973579787,1.0018297825458533,1.0543966136675371
GFE + Agg. Shock,shock_active_containment,robust_full_empirical,Robust SIV,HAC,5000,0.05720670259177504,0.12264521071045763,0.06704151008720136,0.20198392281384175,0.1937328179085598,0.08173480622128657,0.052054357057551,0.4218944787137958,0.6722,0.006638481151588818,0.9462622973579787,1.0018297825458533,1.0543966136675371
GFE + Agg. Shock,shock_active_containment,robust_learned_q_true_d,Robust SIV,AR,5000,0.059738134250904636,0.13089384563914927,0.06963806586682594,0.22003167013853986,0.21178824809838406,nan,nan,nan,0.7114,0.006407964419376875,0.9378791406856187,1.0029930927680724,1.07478145405804
GFE + Agg. Shock,shock_active_containment,robust_learned_q_true_d,Robust SIV,ARIMA-Z,5000,0.059738134250904636,0.13089384563914927,0.06963806586682594,0.22003167013853986,0.21178824809838406,0.11570851830321026,0.06672206901554555,0.5463405988865402,0.7892,0.005768246874051075,0.9378791406856187,1.0029930927680724,1.07478145405804
GFE + Agg. Shock,shock_active_containment,robust_learned_q_true_d,Robust SIV,HAC,5000,0.059738134250904636,0.13089384563914927,0.06963806586682594,0.22003167013853986,0.21178824809838406,0.08787304395469402,0.0562393686070082,0.41490991470817346,0.6848,0.006570372287777916,0.9378791406856187,1.0029930927680724,1.07478145405804
GFE + Agg. Shock,shock_active_containment,robust_population_q_full_dhat,Robust SIV,AR,5000,0.04601766690470612,0.060907970571241955,0.050982629297773946,0.07649227574296365,0.061108014358747714,nan,nan,nan,0.7162,0.006375853825175104,0.9790485738623843,1.0023188911579353,1.0288728960498295
GFE + Agg. Shock,shock_active_containment,robust_population_q_full_dhat,Robust SIV,ARIMA-Z,5000,0.04601766690470612,0.060907970571241955,0.050982629297773946,0.07649227574296365,0.061108014358747714,0.051657772662079424,0.04156023525258415,0.8453518446665833,0.785,0.005809905334857014,0.9790485738623843,1.0023188911579353,1.0288728960498295
GFE + Agg. Shock,shock_active_containment,robust_population_q_full_dhat,Robust SIV,HAC,5000,0.04601766690470612,0.060907970571241955,0.050982629297773946,0.07649227574296365,0.061108014358747714,0.040236486613848904,0.036651458133157844,0.6584486018091175,0.664,0.006679880238447393,0.9790485738623843,1.0023188911579353,1.0288728960498295
GFE + Agg. Shock,shock_active_containment,robust_population_true_d,Robust SIV,AR,5000,0.030447798863324226,0.05127228937680777,0.04372947839105045,0.06432892493478498,0.05667260788547412,nan,nan,nan,0.7836,0.005823590644954366,0.959826771055369,1.002508296582704,1.0432509917802186
GFE + Agg. Shock,shock_active_containment,robust_population_true_d,Robust SIV,ARIMA-Z,5000,0.030447798863324226,0.05127228937680777,0.04372947839105045,0.06432892493478498,0.05667260788547412,0.05104065217554683,0.04118232050115745,0.9006229654843384,0.8424,0.005152906752503871,0.959826771055369,1.002508296582704,1.0432509917802186
GFE + Agg. Shock,shock_active_containment,robust_population_true_d,Robust SIV,HAC,5000,0.030447798863324226,0.05127228937680777,0.04372947839105045,0.06432892493478498,0.05667260788547412,0.039900605313931845,0.03649380452951625,0.7040545124474298,0.733,0.006256372751043531,0.959826771055369,1.002508296582704,1.0432509917802186
GFE + Agg. Shock,shock_active_containment,robust_reported_simulation,Robust SIV,AR,5000,0.0692730868214595,0.15244108489103037,0.0749504436962911,0.5571917144369758,0.5529240373484033,nan,nan,nan,0.7138,0.006392019399219624,0.5951233050724771,0.8701418699034662,1.0036457355151478
GFE + Agg. Shock,shock_active_containment,robust_reported_simulation,Robust SIV,ARIMA-Z,5000,0.0692730868214595,0.15244108489103037,0.0749504436962911,0.5571917144369758,0.5529240373484033,0.4196127755174547,0.06918850006955946,0.7588976915577728,0.7804,0.0058544998078401194,0.5951233050724771,0.8701418699034662,1.0036457355151478
GFE + Agg. Shock,shock_active_containment,robust_reported_simulation,Robust SIV,HAC,5000,0.0692730868214595,0.15244108489103037,0.0749504436962911,0.5571917144369758,0.5529240373484033,0.38153477859792995,0.0587373757214457,0.6900310943753035,0.6776,0.0066099658092913,0.5951233050724771,0.8701418699034662,1.0036457355151478
GFE + Agg. Shock,shock_active_containment,tsls_full_dhat,TSLS,AR,5000,0.4377988407018699,0.5813832324973275,0.5763410157643352,0.6909094111354392,0.534551343187274,nan,nan,nan,0.5446,0.0070428806606387985,0.820947757665873,1.0008170779980152,1.160337920619313
GFE + Agg. Shock,shock_active_containment,tsls_full_dhat,TSLS,ARIMA-Z,5000,0.4377988407018699,0.5813832324973275,0.5763410157643352,0.6909094111354392,0.534551343187274,0.40530098375802703,0.27560347486452363,0.7582077735347387,0.5652,0.007010691264062339,0.820947757665873,1.0008170779980152,1.160337920619313
GFE + Agg. Shock,shock_active_containment,tsls_full_dhat,TSLS,HAC,5000,0.4377988407018699,0.5813832324973275,0.5763410157643352,0.6909094111354392,0.534551343187274,0.3140104739926662,0.23979065883146433,0.5874280889846275,0.465,0.007053722421530351,0.820947757665873,1.0008170779980152,1.160337920619313
GFE + Agg. Shock,shock_active_containment,tsls_learning_dhat,TSLS,AR,5000,0.6306657968676749,0.9260377383287643,0.6356876636758008,5.911796567598455,5.878648740274626,nan,nan,nan,0.5558,0.0070268963276826565,0.3596647845267158,0.8106291182467855,1.1325667217197766
GFE + Agg. Shock,shock_active_containment,tsls_learning_dhat,TSLS,ARIMA-Z,5000,0.6306657968676749,0.9260377383287643,0.6356876636758008,5.911796567598455,5.878648740274626,31.715805416733776,0.33131495308571957,5.395084281775925,0.5986,0.006932215230357464,0.3596647845267158,0.8106291182467855,1.1325667217197766
GFE + Agg. Shock,shock_active_containment,tsls_learning_dhat,TSLS,HAC,5000,0.6306657968676749,0.9260377383287643,0.6356876636758008,5.911796567598455,5.878648740274626,18.65429909951633,0.2838386871922206,3.173229074177492,0.4896,0.00706953803299763,0.3596647845267158,0.8106291182467855,1.1325667217197766
