branch,method,candidate,reference,n,mean_tau_difference,mean_abs_error_difference,candidate_rmse,reference_rmse,rmse_difference,candidate_containment,reference_containment,containment_difference,paired_containment_mcse,mean_se_difference
GFE,AR,robust_population_q_full_dhat,robust_population_true_d,5000,0.004279503503737035,-0.0015496560460110456,0.06718055068169239,0.06901831568407192,-0.0018377650023795322,0.8632,0.863,0.0002,0.0017551661236544888,nan
GFE,ARIMA-Z,robust_population_q_full_dhat,robust_population_true_d,5000,0.004279503503737035,-0.0015496560460110456,0.06718055068169239,0.06901831568407192,-0.0018377650023795322,0.9384,0.939,-0.0006,0.0012807248147866277,-0.002096243472169083
GFE,HAC,robust_population_q_full_dhat,robust_population_true_d,5000,0.004279503503737035,-0.0015496560460110456,0.06718055068169239,0.06901831568407192,-0.0018377650023795322,0.8144,0.8156,-0.0012,0.001959714289384859,-0.001603808890009715
GFE + Agg. Shock,AR,robust_population_q_full_dhat,robust_population_true_d,5000,0.015569868041381904,0.00963568119443418,0.07649227574296365,0.06432892493478498,0.012163350808178666,0.7162,0.7836,-0.0674,0.0041490831491060335,nan
GFE + Agg. Shock,ARIMA-Z,robust_population_q_full_dhat,robust_population_true_d,5000,0.015569868041381904,0.00963568119443418,0.07649227574296365,0.06432892493478498,0.012163350808178666,0.816,0.874,-0.058,0.003672859646051822,0.0005483935408654692
GFE + Agg. Shock,HAC,robust_population_q_full_dhat,robust_population_true_d,5000,0.015569868041381904,0.00963568119443418,0.07649227574296365,0.06432892493478498,0.012163350808178666,0.664,0.733,-0.069,0.004295519793698966,0.0003358812999170631
Aggregate Shock,AR,robust_full_empirical,robust_population_true_d,5000,-0.004874261355780384,0.011906212301530415,0.056404852897491246,0.029309495774070802,0.027095357123420444,0.688,0.7244,-0.0364,0.007347503328412461,nan
Aggregate Shock,ARIMA-Z,robust_full_empirical,robust_population_true_d,5000,-0.004874261355780384,0.011906212301530415,0.056404852897491246,0.029309495774070802,0.027095357123420444,0.7782,0.822,-0.0438,0.006354871271534581,0.006866531521562565
Aggregate Shock,HAC,robust_full_empirical,robust_population_true_d,5000,-0.004874261355780384,0.011906212301530415,0.056404852897491246,0.029309495774070802,0.027095357123420444,0.666,0.7062,-0.0402,0.007523836363367066,0.004868502664140386
Basic,AR,robust_full_empirical,robust_population_true_d,5000,-1.3684610379987427e-05,0.0007254900249608059,0.020694625455428044,0.01971799006402232,0.0009766353914057238,0.8326,0.8334,-0.0008,0.004436643862397832,nan
Basic,ARIMA-Z,robust_full_empirical,robust_population_true_d,5000,-1.3684610379987427e-05,0.0007254900249608059,0.020694625455428044,0.01971799006402232,0.0009766353914057238,0.903,0.9008,0.0022,0.0035272539324608895,0.0010425621222985323
Basic,HAC,robust_full_empirical,robust_population_true_d,5000,-1.3684610379987427e-05,0.0007254900249608059,0.020694625455428044,0.01971799006402232,0.0009766353914057238,0.827,0.8274,-0.0004,0.0044546533857706,0.0008678852679219588
GFE,AR,robust_full_empirical,robust_population_true_d,5000,0.001544117173044621,-0.012553560239225384,0.0658484204976984,0.06901831568407192,-0.0031698951863735197,0.8144,0.863,-0.0486,0.006360479474051305,nan
GFE,ARIMA-Z,robust_full_empirical,robust_population_true_d,5000,0.001544117173044621,-0.012553560239225384,0.0658484204976984,0.06901831568407192,-0.0031698951863735197,0.896,0.939,-0.043,0.004971432693762001,-0.01952993675233772
GFE,HAC,robust_full_empirical,robust_population_true_d,5000,0.001544117173044621,-0.012553560239225384,0.0658484204976984,0.06901831568407192,-0.0031698951863735197,0.7854,0.8156,-0.0302,0.006784305223047669,-0.014365813921374482
GFE + Agg. Shock,AR,robust_full_empirical,robust_population_true_d,5000,0.026758903728450797,0.07137292133364985,0.20198392281384175,0.06432892493478498,0.13765499787905677,0.7116,0.7836,-0.072,0.0075640361533103285,nan
GFE + Agg. Shock,ARIMA-Z,robust_full_empirical,robust_population_true_d,5000,0.026758903728450797,0.07137292133364985,0.20198392281384175,0.06432892493478498,0.13765499787905677,0.8046,0.874,-0.0694,0.006290042998913888,0.058110567511516914
GFE + Agg. Shock,HAC,robust_full_empirical,robust_population_true_d,5000,0.026758903728450797,0.07137292133364985,0.20198392281384175,0.06432892493478498,0.13765499787905677,0.6722,0.733,-0.0608,0.007888797032737295,0.04183420090735474
Aggregate Shock,AR,robust_reported_simulation,robust_population_true_d,5000,-0.004235149804208693,0.02193464726213259,0.16493951496022663,0.029309495774070802,0.13563001918615583,0.6848,0.7244,-0.0396,0.0075483616469211754,nan
Aggregate Shock,ARIMA-Z,robust_reported_simulation,robust_population_true_d,5000,-0.004235149804208693,0.02193464726213259,0.16493951496022663,0.029309495774070802,0.13563001918615583,0.7848,0.822,-0.0372,0.00647237285097702,0.06315530749500176
Aggregate Shock,HAC,robust_reported_simulation,robust_population_true_d,5000,-0.004235149804208693,0.02193464726213259,0.16493951496022663,0.029309495774070802,0.13563001918615583,0.6706,0.7062,-0.0356,0.007714818966530405,0.06099956704415681
Basic,AR,robust_reported_simulation,robust_population_true_d,5000,-3.7197920285062657e-05,0.002259692246422833,0.023291311970211295,0.01971799006402232,0.0035733219061889754,0.837,0.8334,0.0036,0.005083559433635359,nan
Basic,ARIMA-Z,robust_reported_simulation,robust_population_true_d,5000,-3.7197920285062657e-05,0.002259692246422833,0.023291311970211295,0.01971799006402232,0.0035733219061889754,0.9046,0.9008,0.0038,0.004284948559414846,0.002708399276870051
Basic,HAC,robust_reported_simulation,robust_population_true_d,5000,-3.7197920285062657e-05,0.002259692246422833,0.023291311970211295,0.01971799006402232,0.0035733219061889754,0.8312,0.8274,0.0038,0.005157754597351186,0.002491572995563201
GFE,AR,robust_reported_simulation,robust_population_true_d,5000,0.0017424209867203085,-0.00820615052967069,0.0753647117107578,0.06901831568407192,0.00634639602668588,0.8188,0.863,-0.0442,0.00634171234471358,nan
GFE,ARIMA-Z,robust_reported_simulation,robust_population_true_d,5000,0.0017424209867203085,-0.00820615052967069,0.0753647117107578,0.06901831568407192,0.00634639602668588,0.899,0.939,-0.04,0.004932024429480718,-0.01511179029791033
GFE,HAC,robust_reported_simulation,robust_population_true_d,5000,0.0017424209867203085,-0.00820615052967069,0.0753647117107578,0.06901831568407192,0.00634639602668588,0.7968,0.8156,-0.0188,0.00669464529718573,-0.010424000875169153
GFE + Agg. Shock,AR,robust_reported_simulation,robust_population_true_d,5000,0.038825287958135266,0.10116879551422259,0.5571917144369758,0.06432892493478498,0.4928627895021908,0.7138,0.7836,-0.0698,0.007633953592306539,nan
GFE + Agg. Shock,ARIMA-Z,robust_reported_simulation,robust_population_true_d,5000,0.038825287958135266,0.10116879551422259,0.5571917144369758,0.06432892493478498,0.4928627895021908,0.81,0.874,-0.064,0.006279226523796337,0.38793497703126995
GFE + Agg. Shock,HAC,robust_reported_simulation,robust_population_true_d,5000,0.038825287958135266,0.10116879551422259,0.5571917144369758,0.06432892493478498,0.4928627895021908,0.6776,0.733,-0.0554,0.007944733586367238,0.3416341732839981
Aggregate Shock,AR,tsls_full_dhat,tsls_true_d,5000,-0.06101743441556238,-0.0476068993556274,0.639033054969746,0.700429446069126,-0.06139639109938,0.4798,0.4808,-0.001,0.0011135744293049837,nan
Aggregate Shock,ARIMA-Z,tsls_full_dhat,tsls_true_d,5000,-0.06101743441556238,-0.0476068993556274,0.639033054969746,0.700429446069126,-0.06139639109938,0.5072,0.6152,-0.108,0.004398985134555789,-0.04631119322035356
Aggregate Shock,HAC,tsls_full_dhat,tsls_true_d,5000,-0.06101743441556238,-0.0476068993556274,0.639033054969746,0.700429446069126,-0.06139639109938,0.3896,0.454,-0.0644,0.0035288834783427955,-0.026471910825706692
Basic,AR,tsls_full_dhat,tsls_true_d,5000,3.067626900273974e-05,-7.942168338819145e-05,0.019555159088763305,0.01969378011499827,-0.00013862102623496408,0.8324,0.8334,-0.001,0.002537929907945357,nan
Basic,ARIMA-Z,tsls_full_dhat,tsls_true_d,5000,3.067626900273974e-05,-7.942168338819145e-05,0.019555159088763305,0.01969378011499827,-0.00013862102623496408,0.8982,0.8996,-0.0014,0.0018868810412987892,-0.0001206820806143401
Basic,HAC,tsls_full_dhat,tsls_true_d,5000,3.067626900273974e-05,-7.942168338819145e-05,0.019555159088763305,0.01969378011499827,-0.00013862102623496408,0.8258,0.8258,0.0,0.002466012214740359,-0.00010650038846982785
GFE,AR,tsls_full_dhat,tsls_true_d,5000,-0.0522479480095624,-0.01017004307885528,0.39431902505876276,0.39234275911139405,0.001976265947368716,0.8128,0.8056,0.0072,0.002528024956766924,nan
GFE,ARIMA-Z,tsls_full_dhat,tsls_true_d,5000,-0.0522479480095624,-0.01017004307885528,0.39431902505876276,0.39234275911139405,0.001976265947368716,0.8548,0.8472,0.0076,0.002636254533916162,-0.010528012709935718
GFE,HAC,tsls_full_dhat,tsls_true_d,5000,-0.0522479480095624,-0.01017004307885528,0.39431902505876276,0.39234275911139405,0.001976265947368716,0.807,0.803,0.004,0.002416188650233815,-0.008687273434038995
GFE + Agg. Shock,AR,tsls_full_dhat,tsls_true_d,5000,-0.10250464951519098,-0.07839883274641944,0.6909094111354392,0.7905045887900904,-0.0995951776546512,0.5446,0.5652,-0.0206,0.0035267003733099613,nan
GFE + Agg. Shock,ARIMA-Z,tsls_full_dhat,tsls_true_d,5000,-0.10250464951519098,-0.07839883274641944,0.6909094111354392,0.7905045887900904,-0.0995951776546512,0.5996,0.6872,-0.0876,0.004506585166395104,-0.06124012290586925
GFE + Agg. Shock,HAC,tsls_full_dhat,tsls_true_d,5000,-0.10250464951519098,-0.07839883274641944,0.6909094111354392,0.7905045887900904,-0.0995951776546512,0.465,0.536,-0.071,0.004078618274048833,-0.04558615008082344
Aggregate Shock,AR,tsls_learning_dhat,tsls_true_d,5000,0.05028920501503071,0.29821727358501865,11.46814410546486,0.700429446069126,10.767714659395734,0.4814,0.4808,0.0006,0.0017322032518215418,nan
Aggregate Shock,ARIMA-Z,tsls_learning_dhat,tsls_true_d,5000,0.05028920501503071,0.29821727358501865,11.46814410546486,0.700429446069126,10.767714659395734,0.5438,0.6152,-0.0714,0.0050025406627649234,30.541756489208975
Aggregate Shock,HAC,tsls_learning_dhat,tsls_true_d,5000,0.05028920501503071,0.29821727358501865,11.46814410546486,0.700429446069126,10.767714659395734,0.4234,0.454,-0.0306,0.0046061883802422645,41.422782741785376
Basic,AR,tsls_learning_dhat,tsls_true_d,5000,3.16801968316359e-05,0.0013306597311820254,0.02181172375501811,0.01969378011499827,0.00211794364001984,0.8358,0.8334,0.0024,0.004271123564040247,nan
Basic,ARIMA-Z,tsls_learning_dhat,tsls_true_d,5000,3.16801968316359e-05,0.0013306597311820254,0.02181172375501811,0.01969378011499827,0.00211794364001984,0.902,0.8996,0.0024,0.003666270081058057,0.0013853475127642862
Basic,HAC,tsls_learning_dhat,tsls_true_d,5000,3.16801968316359e-05,0.0013306597311820254,0.02181172375501811,0.01969378011499827,0.00211794364001984,0.8246,0.8258,-0.0012,0.004138011192266819,0.001428254581535049
GFE,AR,tsls_learning_dhat,tsls_true_d,5000,0.007569861955088379,0.04034484721858915,0.5136571263012261,0.39234275911139405,0.12131436718983202,0.8114,0.8056,0.0058,0.0037677727137188687,nan
GFE,ARIMA-Z,tsls_learning_dhat,tsls_true_d,5000,0.007569861955088379,0.04034484721858915,0.5136571263012261,0.39234275911139405,0.12131436718983202,0.851,0.8472,0.0038,0.0035156199903833966,0.03265353193762686
GFE,HAC,tsls_learning_dhat,tsls_true_d,5000,0.007569861955088379,0.04034484721858915,0.5136571263012261,0.39234275911139405,0.12131436718983202,0.8044,0.803,0.0014,0.0038526064573614397,0.027444283995408107
GFE + Agg. Shock,AR,tsls_learning_dhat,tsls_true_d,5000,0.09036230665061401,0.26625567308501724,5.911796567598455,0.7905045887900904,5.121291978808364,0.5558,0.5652,-0.0094,0.004684732366258364,nan
GFE + Agg. Shock,ARIMA-Z,tsls_learning_dhat,tsls_true_d,5000,0.09036230665061401,0.26625567308501724,5.911796567598455,0.7905045887900904,5.121291978808364,0.63,0.6872,-0.0572,0.005454501106101574,38.726447163670926
GFE + Agg. Shock,HAC,tsls_learning_dhat,tsls_true_d,5000,0.09036230665061401,0.26625567308501724,5.911796567598455,0.7905045887900904,5.121291978808364,0.4896,0.536,-0.0464,0.0053193107648832364,18.29470247544284
