branch,state_index,weight
GFE,31,-0.012712005780265573
GFE,32,-0.04086250100821001
GFE,33,-0.0055026084904001345
GFE,34,-0.005468745873651878
GFE,35,-0.03775091834908492
GFE,36,0.016825167886236465
GFE,37,-0.002543493735751942
GFE,38,-0.019233589437091532
GFE,39,-0.0032588494535205565
GFE,40,0.14479910031624424
GFE,41,0.0008783011223204954
GFE,42,-0.0007879433092006567
GFE,43,-0.007344803212508196
GFE,44,-0.006130328515445833
GFE,45,0.013520032790596166
GFE,46,0.018158918999370163
GFE,47,0.0018612391196495344
GFE,48,0.061697233309928774
Aggregate Shock,0,-0.0024154507053085073
Aggregate Shock,1,-0.0048654984989266545
Aggregate Shock,2,-0.007824799065970115
Aggregate Shock,3,-0.0167583815068638
Aggregate Shock,4,-0.000877899201957014
Aggregate Shock,5,-0.009234064649977471
Aggregate Shock,6,-0.01512220879059142
Aggregate Shock,7,0.01823387508739619
Aggregate Shock,8,0.00536995653684701
Aggregate Shock,9,0.005336930257565064
Aggregate Shock,10,-0.024836119021395306
Aggregate Shock,11,0.03752989361340593
Aggregate Shock,12,0.03925985646170617
Aggregate Shock,13,-0.007556246560644628
Aggregate Shock,14,0.0006120087644430467
Aggregate Shock,15,-0.04366195325939263
Aggregate Shock,16,-0.00014950147829664628
Aggregate Shock,17,-0.020682483261856004
Aggregate Shock,18,-0.0066786465636445025
Aggregate Shock,19,-0.021025574900861287
Aggregate Shock,20,-0.020277721483050473
Aggregate Shock,21,-0.029165370739531474
Aggregate Shock,22,0.013084619589537156
Aggregate Shock,23,0.019495572090778655
Aggregate Shock,24,0.013096272483556439
Aggregate Shock,25,0.017748518963689956
Aggregate Shock,26,-0.01433824945598316
Aggregate Shock,27,0.009933363499817905
Aggregate Shock,28,-0.04280570491587983
Aggregate Shock,29,-0.0012768970572668108
Aggregate Shock,30,0.0022623374783095206
Aggregate Shock,31,0.0015173956557325212
Aggregate Shock,32,-0.040054479520363236
Aggregate Shock,33,-0.012925415958954784
Aggregate Shock,34,0.0012628476161846368
Aggregate Shock,35,-0.044977041254611654
Aggregate Shock,36,0.019137236357900392
Aggregate Shock,37,-0.0189386779799967
Aggregate Shock,38,-0.021876290419765663
Aggregate Shock,39,-0.001362215889390905
Aggregate Shock,40,0.1488103601253049
Aggregate Shock,41,-0.013312693979966674
Aggregate Shock,42,-0.01161299447638808
Aggregate Shock,43,0.001852999508228473
Aggregate Shock,44,3.984787160172107e-05
Aggregate Shock,45,0.03199885428897474
Aggregate Shock,46,0.001863471559074649
Aggregate Shock,47,0.010744256052424385
Aggregate Shock,48,0.05542210673435594
GFE + Agg. Shock,0,-0.0047403750461778235
GFE + Agg. Shock,1,-0.003000814612278145
GFE + Agg. Shock,2,-0.007151492893619125
GFE + Agg. Shock,3,-0.016858728771084887
GFE + Agg. Shock,4,0.0031920735082778145
GFE + Agg. Shock,5,-0.018620396112111897
GFE + Agg. Shock,6,0.004445571758983883
GFE + Agg. Shock,7,0.023131302298464208
GFE + Agg. Shock,8,0.0047160293598756805
GFE + Agg. Shock,9,0.006889231816831833
GFE + Agg. Shock,10,-0.02958055129954057
GFE + Agg. Shock,11,0.04768736577307602
GFE + Agg. Shock,12,0.029927771679647018
GFE + Agg. Shock,13,-0.003007678952271284
GFE + Agg. Shock,14,0.0025019782876288723
GFE + Agg. Shock,15,-0.04285084624589103
GFE + Agg. Shock,16,-0.00012591444887210753
GFE + Agg. Shock,17,-0.018527378848436755
GFE + Agg. Shock,18,-0.00577874031680955
GFE + Agg. Shock,19,-0.01648528514684317
GFE + Agg. Shock,20,-0.008859509997331046
GFE + Agg. Shock,21,-0.029430826990448702
GFE + Agg. Shock,22,0.018132781161733055
GFE + Agg. Shock,23,0.019947703309688973
GFE + Agg. Shock,24,0.007961120929577006
GFE + Agg. Shock,25,0.012474197227778466
GFE + Agg. Shock,26,-0.018074404075519652
GFE + Agg. Shock,27,0.013333827183752237
GFE + Agg. Shock,28,-0.046274856459346786
GFE + Agg. Shock,29,0.00034552870657624473
GFE + Agg. Shock,30,-0.002548191100166668
GFE + Agg. Shock,31,0.001048606228142899
GFE + Agg. Shock,32,-0.04599402145633993
GFE + Agg. Shock,33,-0.015234126424999233
GFE + Agg. Shock,34,0.0014220844421262825
GFE + Agg. Shock,35,-0.04147436332167062
GFE + Agg. Shock,36,0.0030378470988436765
GFE + Agg. Shock,37,-0.019212157669023327
GFE + Agg. Shock,38,-0.02832987306971629
GFE + Agg. Shock,39,-0.0018066822972741823
GFE + Agg. Shock,40,0.15216938738460983
GFE + Agg. Shock,41,-0.007023650190200697
GFE + Agg. Shock,42,-0.010223662852806539
GFE + Agg. Shock,43,0.0005363064316438398
GFE + Agg. Shock,44,-0.005837661693841158
GFE + Agg. Shock,45,0.018713316033376347
GFE + Agg. Shock,46,0.003938967066876939
GFE + Agg. Shock,47,0.012746499192398699
GFE + Agg. Shock,48,0.05875269341271131
