sample,n_units,h_z_corr,theta_y_scale_multiplier,method,config,T0,T1,branch,estimator,n,coverage,mean_bias,mean_abs_error,rmse,mean_se,sd_bias,mean_weight_corr,mean_shock,mean_iv_moment_bias_ratio,critical
full,51,0.5,3.0,HAC,longer_length,30,60,GFE,SIV,1000,0.923,0.0003121878772625355,0.008588460461718735,0.010884631205320421,0.010111728365495216,0.010885597431310876,0.6471437405686498,0.0,0.000312187877262539,1.9599639845400536
full,51,0.5,3.0,HAC,longer_length,30,60,GFE,TSLS,1000,0.868,-0.00172268296297745,0.06675226152722588,0.0837908107571176,0.06774342625398683,0.08381501827257566,0.6471437405686498,0.0,-0.0017226829629774412,1.9599639845400536
full,51,0.5,3.0,HAC,longer_length,30,60,GFE + Agg. Shock,SIV,1000,0.826,0.002190636946477146,0.011679787647209793,0.015288141527444206,0.010231166990950653,0.015137950279696518,0.5902694475638179,0.002057264550665022,0.002190636946477147,1.9599639845400536
full,51,0.5,3.0,HAC,longer_length,30,60,GFE + Agg. Shock,TSLS,1000,0.167,0.42125644655401207,0.4221808686956537,0.45385104487902783,0.11582075048012004,0.1689743456977305,0.5902694475638179,0.41876627109209025,0.42125644655401207,1.9599639845400536
restricted,49,0.5,3.0,AR,finite_length,5,10,Aggregate Shock,SIV,1000,0.677,nan,nan,nan,nan,nan,0.7433218813109314,0.011094584899411522,0.012428291187400575,2.306004135204166
restricted,49,0.5,3.0,AR,finite_length,5,10,Aggregate Shock,TSLS,1000,0.467,nan,nan,nan,nan,nan,0.7433218813109314,0.3631203007158066,0.3565993450724942,2.306004135204166
restricted,49,0.5,3.0,AR,finite_length,5,10,Basic,SIV,1000,0.84,nan,nan,nan,nan,nan,0.934528132971296,0.0,0.0010161214696911528,2.306004135204166
restricted,49,0.5,3.0,AR,finite_length,5,10,Basic,TSLS,1000,0.834,nan,nan,nan,nan,nan,0.934528132971296,0.0,0.0011162125130108965,2.306004135204166
restricted,49,0.5,3.0,AR,finite_length,5,10,GFE,SIV,1000,0.812,nan,nan,nan,nan,nan,0.9336887671454831,0.0,-1.3798899967082056e-05,2.306004135204166
restricted,49,0.5,3.0,AR,finite_length,5,10,GFE,TSLS,1000,0.811,nan,nan,nan,nan,nan,0.9336887671454831,0.0,0.01979594626206734,2.306004135204166
restricted,49,0.5,3.0,AR,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.714,nan,nan,nan,nan,nan,0.7462682455918314,0.0666872091927478,0.060506590531514706,2.306004135204166
