sample,n_units,h_z_corr,theta_y_scale_multiplier,config,T0,T1,branch,estimator,n,mean_bias_component_total,mean_abs_bias_component_total,rmse_bias_component_total,mean_bias_component_gfe,mean_abs_bias_component_gfe,rmse_bias_component_gfe,mean_bias_component_shock,mean_abs_bias_component_shock,rmse_bias_component_shock,mean_bias_component_eps,mean_abs_bias_component_eps,rmse_bias_component_eps
restricted,49,0.5,3.0,finite_length,5,10,GFE,TSLS,1000,0.019795946262067324,0.3729980424998015,0.566445633006962,0.018607778105260566,0.3727068921197002,0.564489708447905,0.0,0.0,0.0,0.001188168156806767,0.01726686004941589,0.024414140259799835
restricted,49,0.5,3.0,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.06050659053147861,0.1449579993926127,0.24664420799252793,-0.007332635367962182,0.08990492790361801,0.15229105019036004,0.06668720919274335,0.1012732231463876,0.19894418680022366,0.0011520167066974415,0.019309796024693484,0.0287678066807748
restricted,49,0.5,3.0,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.8799979008762929,1.1606372757070367,9.585562683230517,-0.45216069805264303,0.9214879681613428,15.107508869664171,1.2322179904744406,1.3831681276974888,19.939429369873196,0.09994060845449489,0.12168759648986587,3.0325801324593935
restricted,49,0.5,4.5,finite_length,5,10,Aggregate Shock,SIV,1000,0.009339011004069118,0.0412662213524256,0.06589008851938256,0.0,0.0,0.0,0.007988392464447656,0.03350986812896943,0.06144370790974229,0.0013506185396214656,0.019405974067012343,0.030270696422883103
restricted,49,0.5,4.5,finite_length,5,10,Aggregate Shock,TSLS,1000,0.5381594954303963,1.1053738880161996,3.9900123578421476,0.0,0.0,0.0,0.5446804510737088,1.0982414808538679,3.861820959339013,-0.006520955643312487,0.02583188053895908,0.15420987969196562
restricted,49,0.5,4.5,finite_length,5,10,Basic,SIV,1000,0.0010161214716780723,0.01820379258067261,0.026032084351492485,0.0,0.0,0.0,0.0,0.0,0.0,0.0010161214716780723,0.01820379258067261,0.026032084351492485
restricted,49,0.5,4.5,finite_length,5,10,Basic,TSLS,1000,0.0011162125130108988,0.01706921256201737,0.02361862971046641,0.0,0.0,0.0,0.0,0.0,0.0,0.0011162125130108986,0.017069212562017367,0.02361862971046641
restricted,49,0.5,4.5,finite_length,5,10,GFE,SIV,1000,-1.3798899868923714e-05,0.04961722585604871,0.09046302932158308,-0.0010245383554355464,0.044779611882732155,0.08055337138651004,0.0,0.0,0.0,0.0010107394555666244,0.018459153322686227,0.027023358334355957
restricted,49,0.5,4.5,finite_length,5,10,GFE,TSLS,1000,0.019795946262067324,0.3729980424998015,0.566445633006962,0.018607778105260566,0.3727068921197002,0.564489708447905,0.0,0.0,0.0,0.001188168156806767,0.01726686004941589,0.024414140259799835
restricted,49,0.5,4.5,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.05129041112539821,0.14646620584863915,0.27809855768533576,-0.00846080481116664,0.09087816524681643,0.15967991290664985,0.05858545156871024,0.10220608865778354,0.22201029625618315,0.0011657643678546054,0.019374422291580224,0.02891013575308338
restricted,49,0.5,4.5,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,1.496106896113513,1.7974875745200116,19.024567031533525,-0.45216069805264303,0.9214879681613428,15.107508869664171,1.8483269857116607,2.074752191546234,29.909144054809783,0.09994060845449489,0.12168759648986587,3.0325801324593935
restricted,49,0.75,1.5,finite_length,5,10,Aggregate Shock,SIV,1000,0.046309565528518414,0.06748853638141351,0.12370835358630822,0.0,0.0,0.0,0.04651875428324311,0.06358528958136964,0.13787981588290793,-0.00020918875472469945,0.018368673034504002,0.0379506243978063
restricted,49,0.75,1.5,finite_length,5,10,Aggregate Shock,TSLS,1000,0.37176107805535186,0.3816126410491355,0.5501467093122495,0.0,0.0,0.0,0.3720411982818365,0.3795579593103625,0.5360399539792992,-0.00028012022648460366,0.015543208126427935,0.04391290665293583
restricted,49,0.75,1.5,finite_length,5,10,Basic,SIV,1000,0.0010161214716780723,0.01820379258067261,0.026032084351492485,0.0,0.0,0.0,0.0,0.0,0.0,0.0010161214716780723,0.01820379258067261,0.026032084351492485
restricted,49,0.75,1.5,finite_length,5,10,Basic,TSLS,1000,0.0011162125130108988,0.01706921256201737,0.02361862971046641,0.0,0.0,0.0,0.0,0.0,0.0,0.0011162125130108986,0.017069212562017367,0.02361862971046641
restricted,49,0.75,1.5,finite_length,5,10,GFE,SIV,1000,-1.3798899868923714e-05,0.04961722585604871,0.09046302932158308,-0.0010245383554355464,0.044779611882732155,0.08055337138651004,0.0,0.0,0.0,0.0010107394555666244,0.018459153322686227,0.027023358334355957
restricted,49,0.75,1.5,finite_length,5,10,GFE,TSLS,1000,0.019795946262067324,0.3729980424998015,0.566445633006962,0.018607778105260566,0.3727068921197002,0.564489708447905,0.0,0.0,0.0,0.001188168156806767,0.01726686004941589,0.024414140259799835
restricted,49,0.75,1.5,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.13539258435628201,0.1794126765143566,0.2762871818948438,-0.0059974685730161455,0.08129368839645629,0.13494686917169277,0.13987574580223508,0.15663315244331785,0.24049062634319396,0.0015143071270630958,0.018157731350577393,0.035383364482383
restricted,49,0.75,1.5,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.3468241662027018,0.47754058935221166,1.250504033275137,-0.019358341772699236,0.29024187237744453,1.1934655828675187,0.3670888602336006,0.3734803637767326,0.4271000825553252,-0.0009063522581995245,0.015591128275314479,0.04206064384049166
restricted,49,0.75,3.0,finite_length,5,10,Aggregate Shock,SIV,1000,0.039134665783838715,0.0712776317836265,0.3428247054368904,0.0,0.0,0.0,0.04176081929949938,0.07010240938201043,0.4426751435658206,-0.002626153515660657,0.020937661717744305,0.1077766171968928
restricted,49,0.75,3.0,finite_length,5,10,Aggregate Shock,TSLS,1000,0.7438022763371884,0.7611340236939313,1.0853903098368545,0.0,0.0,0.0,0.744082396563673,0.759115918620725,1.0720799079585983,-0.00028012022648460366,0.015543208126427935,0.04391290665293583
restricted,49,0.75,3.0,finite_length,5,10,Basic,SIV,1000,0.0010161214716780723,0.01820379258067261,0.026032084351492485,0.0,0.0,0.0,0.0,0.0,0.0,0.0010161214716780723,0.01820379258067261,0.026032084351492485
restricted,49,0.75,3.0,finite_length,5,10,Basic,TSLS,1000,0.0011162125130108988,0.01706921256201737,0.02361862971046641,0.0,0.0,0.0,0.0,0.0,0.0,0.0011162125130108986,0.017069212562017367,0.02361862971046641
restricted,49,0.75,3.0,finite_length,5,10,GFE,SIV,1000,-1.3798899868923714e-05,0.04961722585604871,0.09046302932158308,-0.0010245383554355464,0.044779611882732155,0.08055337138651004,0.0,0.0,0.0,0.0010107394555666244,0.018459153322686227,0.027023358334355957
restricted,49,0.75,3.0,finite_length,5,10,GFE,TSLS,1000,0.019795946262067324,0.3729980424998015,0.566445633006962,0.018607778105260566,0.3727068921197002,0.564489708447905,0.0,0.0,0.0,0.001188168156806767,0.01726686004941589,0.024414140259799835
