sample,n_units,h_z_corr,theta_y_scale_multiplier,method,config,T0,T1,branch,estimator,n,coverage,mean_bias,mean_abs_error,rmse,mean_se,sd_bias,mean_weight_corr,mean_shock,mean_iv_moment_bias_ratio,critical
restricted,49,0.25,4.5,ARIMA-Z,finite_length,5,10,GFE,TSLS,1000,0.849,0.01979594626206733,0.3729980424998014,0.5664456330069618,0.37484053615457924,0.5663828786514266,0.9336887671454831,0.0,0.01979594626206734,2.306004135204166
restricted,49,0.25,4.5,ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.855,0.017040425176919668,0.13468131851694973,0.2871229912804077,0.13586499212602043,0.28676029623903304,0.7673177525012475,0.024889073045790723,0.017040425176919668,2.306004135204166
restricted,49,0.25,4.5,ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.777,0.13188557581042784,2.9958892475666397,37.48933078192699,1179.366773284435,37.50785741734219,0.7673177525012475,0.005498795216604094,0.13188557581046834,2.306004135204166
restricted,49,0.25,4.5,HAC,finite_length,5,10,Aggregate Shock,SIV,1000,0.748,0.0036154802589482993,0.03489088269470035,0.05501154655863046,0.027820508243533677,0.05492007622028181,0.7674708203989775,0.002239740607514481,0.003615480258948284,1.9599639845400536
restricted,49,0.25,4.5,HAC,finite_length,5,10,Aggregate Shock,TSLS,1000,0.639,0.38023082323796664,1.2181993923409344,5.448215524932585,19.5802113523687,5.437650685006197,0.7674708203989775,0.3842887289066596,0.380230823237965,1.9599639845400536
restricted,49,0.25,4.5,HAC,finite_length,5,10,Basic,SIV,1000,0.835,0.0010161214696911517,0.01820379257826221,0.026032084321418243,0.017665704016748593,0.026025261295552136,0.934528132971296,0.0,0.0010161214696911528,1.9599639845400536
restricted,49,0.25,4.5,HAC,finite_length,5,10,Basic,TSLS,1000,0.824,0.0011162125130108897,0.017069212562017367,0.023618629710466407,0.01661694248207269,0.02360404393140803,0.934528132971296,0.0,0.0011162125130108965,1.9599639845400536
restricted,49,0.25,4.5,HAC,finite_length,5,10,GFE,SIV,1000,0.785,-1.3798899967071065e-05,0.04961722585595104,0.09046302931984146,0.043146547412414395,0.09050829373348833,0.9336887671454831,0.0,-1.3798899967082056e-05,1.9599639845400536
restricted,49,0.25,4.5,HAC,finite_length,5,10,GFE,TSLS,1000,0.802,0.01979594626206733,0.3729980424998014,0.5664456330069618,0.30792893573827806,0.5663828786514266,0.9336887671454831,0.0,0.01979594626206734,1.9599639845400536
restricted,49,0.25,4.5,HAC,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.739,0.017040425176919668,0.13468131851694973,0.2871229912804077,0.10613463937271973,0.28676029623903304,0.7673177525012475,0.024889073045790723,0.017040425176919668,1.9599639845400536
